aine_kood,nimi_et,eap,semester,kirjeldus,toimumisajad,oppejoud,opivaljundid,keel,hindamisskaala,asukoht,oppeaste,hindmaismeetod,miinimumnouded,eeldusained
ARSK.03.016,Proovivõtt ja selle kvaliteedi tagamine,2.0,kevad,Valikaine üliõpilastele. Tutvustab preanalüütilise faasi osatähtsust laboritesti tulemuses. Käsitletakse kvaliteedi kontrolli preanalüütilises ja analüütilises faasis. Praktiliste oskuste omandamine vereanalüüside võtmisel.,,"Aivar Orav, Kalle Kisand, Mailis Tõnisson",,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,Teostatud kõik kolm hindamisele pääsemise tingimust semestri lõpuks. Lisaks saadetakse kodune töö kahele üliõpilasele tutvumiseks ning soovituste tegemiseks.,Koosneb kolmest osast. 1.Loengutest ja praktikumidest osavõtt. 2. Praktiline veenivere võtmise õppimine õe juures. 3. Iseseisev kodune töö. Koduse töö esitlus ja suhtlus õppejõuga  toimub meili teel.,ARFS.01.030 Inimese füsioloogia
HVLC.03.013,"Prantsuse keel kesktasemele II, B1.2 > B2.1",6.0,kevad,"Le prérequis pour le cours est le niveau B1 du CECR. 
Le cours sera donné uniquement en français. Les étudiants devront parler uniquement en français pendant le cours. 
Une attention particulière sera portée sur la compréhension et l'expression orale. Quelques structures grammaticales seront aussi étudiées. Par exemple le conditionnel, les pronoms y/en, la double pronominalisation etc.
Divers sujets concernant la culture francophone et l'actualité seront étudiés. Les documents authentiques seront utilisés aussi souvent que possible, pour habituer les étudiants à un français authentique.",,"Mathilde Ambert , Vincent Dautancourt",,eesti keel,"Eristamata (arv, m.arv, mi)",,"bakalaureuseõpe, doktoriõpe, magistriõpe",,"- Avoir fait le test écrit (fin mars), l'exposé (en cours de semestre) et l’examen (fin de semestre) et obtenir une note finale d’au moins 60 %. Le test et l’exposé comptent pour 25 % de la note, l’examen final pour 50 %.
- Avoir réalisé les exercices/activités demandés.
- Présence en cours (6 absences autorisées)",
HVLC.03.007,"Prantsuse keele algkursus II, tase A1.1 > A1.2",6.0,kevad,"Kursusel osalemise eelduseks on prantsuse keele teadmised Euroopa Nõukogu keeleoskustasemel A.1.1.
Semestris käsitletavad suhtlussituatsioonid ja sõnavara:
- ruumiline paigutamine, teejuhatamine, kohtade kirjeldamine;
- eluaseme kirjeldamine, toa reserveerimine hotellis;
- kuuluvuse väljendamine;
- korralduste andmine;
- igapäevategevuste kirjeldamine, tänasest ja eilsest kõnelemine, minevikusündmuste edasiandmine;
- kahtluse ja kindlustunde väljendamine;
- inimese kirjeldamine, välimus, rõivad, mood;
- esemete kirjeldamine (vorm, värv, materjal), valik, ostmine;
- toit, toidupoed, söögitavad, tellimine kohvikus või restoranis;
- peod ja tähtpäevad.
Grammatika: 
- küsilause struktuur, demonstratiivid, kuuluvuse väljendamine possessiivi ja eessõna à abil;
- pronominaalne tegusõna;
- käsklause, il faut + infinitiiv;
- liitminevik passé composé;
- jätkuv töö tegusõnaga, ülevaade kindla kõneviisi aegadest, verbivormidest;
- umbmäärane asesõna (quelqu'un, quelque chose) ja selle vasted eituslauses;
- kvantiteedi väljendamine, osa-artikkel (du, de la, de l').",,Tiina Zobel,,eesti keel,"Eristamata (arv, m.arv, mi)",,"bakalaureuseõpe, doktoriõpe, magistriõpe","Arvestus saadakse jooksvalt aktiivse osalemise eest praktikumides, kodutööde esitamise, kodulugemise ja kontrolltööde positiivse sooritamise põhjal.","1) Aktiivne osalemine tundides vähemalt 75% ulatuses.
2) Positiivne tulemus kontrolltööde eest (60% õigeid vastuseid). 
3) Kohustuslikud kodutööd peavad olema esitatud nõuetekohasel tasemel.
4) Kodulugemine.",
HVKU.04.009,Magistriseminar IV: juhendajaseminar,3.0,kevad,Üliõpilaste individuaalne töö juhendajaga magistritööks või magistriprojektiks vajalike oskuste omandamisel ning lõputööga seotud kirjalike tööde ettevalmistamisel.,,"Alevtina Solovyeva, Ave Matsin, Elo-Hanna Seljamaa, Kristel Kivari, Margaret Lyngdoh",,inglise keel,"Eristamata (arv, m.arv, mi)",,magistriõpe,Successful completion of the pre-defence.,Meetings with the supervisor and successful completion of the pre-defence.,
P2OG.02.208,Intellektuaalse omandi rahvusvaheline kaitse,6.0,kevad,x,,Aleksei Kelli,,inglise keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,magistriõpe,"Participation in discussions during lectures and seminars.

Timely submission, oral presentation and positive evaluation of the research paper. The research paper must be submitted via Moodle by 16 March 2026.  More detailed information is provided in Moodle.

*	Quality of the research paper (60 points)
*	Oral presentation of the research paper (40 points)","Each student must:
* Participate actively in discussions during lectures and seminars. If a student misses more than half of the lectures, then they will not pass the course;
*Prepare a research paper;
* Present the research paper (the research question, methodology and results).

Assessment criteria for the research paper:

* Creativeness, consistency, completeness and correctness of the answers to the research question;
* Depth of the analysis of problems and applicable norms and principles;
* Association of theory with state and court practice;
* Structure and formatting.",
P2OG.02.196,Vaidluste rahvusvaheline lahendamine,6.0,kevad,"Rahvusvahelise õigusmõistmise süsteemi tähtsus on oluliselt tõusnud viimastel aastakümnetel. Riigid pöörduvad üha tihedamini omavaheliste vaidluste lahendamiseks rahvusvaheliste kohtute poole ja aktsepteerivad üha rohkem etteulatuvalt nende jurisdiktsiooni. Samas on juurde tulnud ka kohtuid ja tribunale, kus menetluse osapoolteks saavad olla ka füüsilised ja juriidilised isikud, kas hageja, kostja või süüdistatuna. Õppeaine uurib rahvusvahelisi kohtuid ja tribunale ajaloolisest, poliitilisest ja õiguslikust vaatenurgast. Fookus on ennekõike riikidevaheliste vaidluste lahendamisel, kuid õppeaine käsitleb ka investeerimisvaidlusi ja kriminaalmenetlust. Alustuseks selgitatakse vaidluste rahumeelse lahendamise õiguslikku raamistikku. Seejärel võetakse vaatluse alla valitud rahvusvahelised kohtud ja tribunalid, et selgitada nende olemasolu põhjuseid ning uurida loomise ja toimimise detaile. Käsitlemist leiavad sellised teemad nagu jurisdiktsioon, vastuvõetavas, ajutised meetmed, kohalduv õigus, menetlus, otsuse vastuvõtmise protsess, lahendite täideviimine jms.",,Daniel Kaasik,,inglise keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,magistriõpe,"The moot court exercise gives up to 10% of the final grade. The written exam at the end of the course gives up to 90% of the final grade. The written exam lasts for 90 minutes and comprises multiple-choice questions, short-answer questions and a question requiring longer analysis.",*	Participation in seminars. Absence is only allowed for good reason and with notice to the instructor.,
SHRG.00.016,Kvalitatiivne analüüs,6.0,kevad,"Loengute, seminaride ja praktiliste kodutööde käigus õpivad kursusel osalejad mõistma kvalitatiivse uurimistöö tugevusi ja nõrkusi võrreldes kvantitatiivsete meetoditega. Tudengid omandavad teadmised kvalitatiivse uuringu kavandamise põhiettappidest ning võimalikest uuringu tüüpidest. Kursuse raames õpitakse kasutama erinevaid andemete kogumise ja analüüsi võtteid, sealhulgas läbi viima intervjuusid, fookusgruppe, vaatlust, sisu- ja diskursuseanalüüsi. Samuti tulevad arutlusele sellised teemad nagu kvalitatiivsete uuringute usaldusväärsuse hindamine ning eetika uurimistöös inimsubjektidega.",Neljapäev,Helen Urmann,,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,"bakalaureuseõpe, integreeritud bakalaureuse- ja magistriõpe, rakenduskõrgharidusõpe","Välitöö kavand, 5% hindest
Välitöö ülesanne, 25% hindest
Kvalitatiivne tekstianalüüs, 25% hindest
Kvalitatiivse uurimisprojekti kavandamise ülesanne, 20% hindest
Viis seminaris valmivat ülesannet, kokku 25% hindest

Iga ülesanne hinnatakse punktisüsteemis, lõpptulemus kujuneb vastavalt skaalale:
100-91 punkti A
90-81 punkti	B
80-71 punkti	C
70-61 punkti	D
60-51 punkti	E
50-0 punkti	F",Lõpphindamisele pääsemise tingimuseks on välitöö ülesande ja tekstianalüüsi ülesande tähtajaline esitamine.,
SORG.00.075,Euroopa Liidu poliitika,6.0,kevad,"Loengud annavad üldise ja mitmetahulise ülevaate EL-i poliitilis-institutsionaalsetest arengutest ja ajaloost. Iseäranis keskendutakse järgmistele küsimustele: lõimumisprotsessi dünaamika, kõige tähtsamad hiljutised institutsionaalsed arengud, EL-i teoreetiline alus ja sellega seotud mõisted, Liidu institutsionaalne, poliitiline ja majanduslik olemus ning pinged ""laienemise"" ja ""süvenemise"" vahel. Auditoorses tegevuses kasutatakse arutelusid rühmades.",Teisipäev,"Maili Vilson, Ronek Jäär",,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,"bakalaureuseõpe, integreeritud bakalaureuse- ja magistriõpe, rakenduskõrgharidusõpe","Hindamine on eristav, skaalal A-F.

Lõpphinne kujuneb järgnevalt:
1) osalemine seminarides 3*10%
2) vahetest 20%
3) simulatsioon 20%
4) lõpueksam 30%

Hindamine:
A (Suurepärane) 100-91	
B (Väga hea) 90-81	
C (Hea) 80-71
D (Rahuldav) 70-61
E (Kasin) 60-51
F (Mitterahuldav) 50-0

Kui teil üliõpilasena on vajadus õppetöös kohanduste saamiseks, konsulteerige infoga leheküljel https://ut.ee/et/sisu/erivajadustega-uliopilaste-noustamine ja pöörduge erivajadustega üliõpilaste nõustaja poole nii vara kui võimalik ning tungivalt soovitavalt enne semestri algust.","Lõpphindamisele pääsemiseks peavad olema:
1) sooritatud kõik kolm seminari (vähemalt 1 punkt igast seminarist)
2) sooritatud vahetest (vähemalt 1 punkt)
3) sooritatud simulatsioon (vähemalt 1 punkt)
4) täidetud kohustus osaleda vähemalt 8 kohtumisel 11-st (11 kohtumist, mis ei ole ei seminar ega simulatsioon)",
MJJV.10.055,Finantsjuhtimine,5.0,kevad,"Kursus keskendub järgmistele teemadele:
- Väärtusteooria: raha ajaväärtus, väärtpaberite väärtuse hindamine. 
- Finantseerimisotsused: finantsstruktuur, kapitali hind, finantsvõimendus, kapitalistruktuuri teooriad (nt M&M I ja II teoreem), optimaalse kapitalistruktuuri kujundamine, võimendusanalüüs. 
- Investeerimisotsused: varade struktuuri kujundamine, kapitali eelarvestamine, projekti väärtuse hindamine. 
- Dividendiotsused: dividendipoliitika kujundamine, dividenditeooriad. 
- Käibekapitali juhtimine: puhta käibekapitali juhtimine, varude juhtimine, debitoorse võlgnevuse juhtimine, sularaha juhtimine. 
- Finantsanalüüs: suhtarvuanalüüs, finantskavandamine.
- Finantsjuhtimise rahvusvahelised aspektid.","Kolmapäev, Neljapäev","Mark Kantšukov, Oliver Lukason",,inglise keel,"Eristav (A, B, C, D, E, F, mi)",,"bakalaureuseõpe, magistriõpe","A student has to collect at least 50.5 points from all the evaluation activities (home assignments, mid-term exam and final exam) to pass this course. A student does NOT have to collect 50.5% from each activity, the total score after the final exam will be taken into account.

This course ends with a differentiated assessment. Grades will be formed as follows:
less than 50.5 points - F
50.5-60.49 points -  E
60.5-70.49 points - D
70.5-80.49 points - C
80.5-90.49 points - B
90.5 and more - A",,
SHHI.01.065,Sotsiaalpedagoogika põhipraktika,4.0,sügis,Individuaalse superviseeritud sotsiaalpedagoogline praktika haridusasutuses: laste ja noorte sotsiaalsete probleemide hindamine ja analüüs; ennetus- ja sekkumine laste ja noorte sotsiaalsete probleemide korra; sotsiaalpedagoogi roll ja pädevus.,,Kristi Kõiv,,eesti keel,"Eristamata (arv, m.arv, mi)",,bakalaureuseõpe,,,
OIEO.01.026,Rooma eraõiguse alused,3.0,kevad,"Antakse ülevaade Vana-Roomas 8. sajandist e.Kr. kuni 6.sajandini p.Kr. kehtinud õigussüsteemi ühest osast--eraõigusest, mille alusel kujunes välja hilisem tsiviilõiguslik traditsioon. Käsitletakse kõiki põhilisi Rooma eraõiguse valdkondi: isikuõigust, perekonna- ja protsessiõigust, asja-, võla - ja pärimisõigust võrdlevalt tänapäeva Eesti ja muude Rooma õigusel põhinevate õigussüsteemidega. Selgitatakse erinevate eraõiguse süsteemide põhimõtteid ja käsitletakse mõistete kujunemislugu ning tähendusmuutusi erinevates õigussüsteemides.",,"Hesi Siimets-Gross, Maris Valtin",,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,bakalaureuseõpe,"Lõpphinne kujuneb jooksvalt: 60% kaasuse kirjalik lahendus, ettekanne - arvestatud, 40% kontrolltöö. Ettekande esitamata jätmisel läheb 1 hindepall maha kaasuse lahenduse hindest.","Aine lõpphinne kujuneb jooksvalt: tegema peab ettekande, kirjaliku kaasuse lahenduse ja kontrolltöö",
SVHI.01.012,Kvantitatiivsed uurimismeetodid haridusteaduses,5.0,kevad,"Kvantitatiivse uuringu disain, valimi moodustamine. Kvantitatiivandmete kogumine, struktuur, andmebaasid haridusteadustes. Andmetest ülevaate loomine, rühmitamine, andmete kvaliteedi analüüs. Andmehulkade võrdlemine ja seostamine. Latentsete tunnuste analüüs (faktoranalüüs, struktuurivõrrandite mudelid). Hierarhilised andmed ja mitmetasandiline andmeanalüüs haridusteadustes. Üksikväärtuste teooria (IRT) rakendamine. Tulemuste esitlemine ja tõlgendus teadusartiklites ja -ettekannetes.",,Margus Pedaste,,inglise keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,doktoriõpe,Grading is based on the assessment of the report submitted by the student.,There are no prerequisites for assessment of the report.,
SHRG.03.033,Euraasia regionaalsed konfliktid,3.0,kevad,"Kursus käsitleb mitmeid pikaajalisi ja raskesti juhitavaid regionaalseid konflikte Kesk-Aasias, Lõuna- ja Põhja-Kaukaasias, Transnistrias ja Ukrainas/Krimmis. Nende (""külmutatud"") konfliktide analüüsimisel lahatakse teemasid, mis on olnud vastuolude põhjustajateks ja koostöö takistajateks; põhilisi ja teisejärgulisi osalejaid ja nende huvisid; samuti seda, kuidas osalejatel on õnnestunud mobiliseeruda konfliktiks ja pidurdada rahuotsinguid; ning viimaks, millised on konflikti lahendamise väljavaated.",Teisipäev,Eiki Berg,,inglise keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,magistriõpe,,,
SVHI.01.070,"Õppimine, õpetamine ja juhendamine",6.0,kevad,Kursuse käigus käsitletakse järgmisi teemasid: õppimise ja õpetamise olemus; enesejuhitavus õppimises; õppeprotsessi etapid; ainekursuse kavandamine; õppimist toetav hindamine; erinevad õppemeetodid ja nende valiku põhimõtted; keeruliste teemade käsitlemine; konstruktiivse tagasiside andmine; juhendaja rollid ja ülesanded; õpetamise ja teadustöö eetika.,,"Liisi Pajula, Mari Karm",,inglise keel,"Eristamata (arv, m.arv, mi)",Tartu linn,doktoriõpe,"All assignments must be successfully completed and passed. Readings (articles, videos, and book chapters) will be assigned and posted on the Moodle course site.","All assignments must be successfully completed and passed. Readings (articles, videos, and book chapters) will be assigned and posted on the Moodle course site.",
OIEO.01.021,Teadustöö metoodika I,6.0,kevad,"Seminaride käigus toimub doktorantide uurimisprojektide diskuteerimine. Oma projekti esitlemiseks tuleb pidada ettekanne, milles esitatakse töö esmane plaan. Ettekande juurde kuulub kohustuslikult plaanitava töö liigendus. Seminarides omandavad doktorandid ettekande-, oponeerimis-, modereerimis- ja diskussioonikogemusi. Esitatakse kirjalik töö.",,Merike Ristikivi,,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,doktoriõpe,Ettekande koostamine ja esitlemine seminaril. Oponeerimine. Modereerimine. Aktiivne osalemine diskussioonis.,Arvestusele pääsemise tingimuseks on osalemine kõigis seminarides.,
P2OG.02.188,Ettevalmistus rahvusvahelisteks harjutuskohtuteks,3.0,kevad,"Õppeaines käsitletakse levinumaid rahvusvahelisi harjutuskohtu võistlusi (Willem C. Vis Moot, ELMC, European Human Righs Moot, Telders, ICC Moot Court), meeskondadesse kandideerimist, meeskondade valiku põhimõtteid, meeskonnatöö toimimist ja iga liikme panust meeskonda; tööd allikatega, kirjalike argumentide koostamist, nende suulist kaitsmist ja avaliku esinemise põhitõdesid; võistlustel korduma kippuvaid vigu ja tavalisi tagasilööke.",,"Carri Ginter, Elis Toim, Henry Heinleht",,eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,bakalaureuseõpe,Suuline arvestus ehk esinemine simuleeritud harjutuskohtus.,"Seminarideks valmistumine ja aktiivne osalemine seminarides.
Arvestusele pääsemise eelduseks on reeglistikule vastava memorandumi tähtaegne esitamine; videotreeningu video esitamine ja teiste video hindamine. Lubatud on puududa ühest seminarist. Rohkem kui ühest seminarist on lubatud puududa vaid kokkuleppel õppejõuga.",
KKSB.02.010,"Toit, toitumine ja sportlik saavutusvõime",3.0,kevad,"Käsitletakse inimese toitumisvajadusi, neid mõjutavaid tegureid ning toidu keemilist koostist. Õpitakse tundma erinevate spordialade sportlaste toitumisvajadusi, spetsiaalselt sportlastele toodetavaid toidulisandeid ja nende kasutamise põhimõtteid.","Esmaspäev, Teisipäev, Neljapäev","Luule Medijainen, Vahur Ööpik",,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,bakalaureuseõpe,Suuline eksam,"Eksamile pääsemine eeldab kontrolltööde (2) ja suure kodutöö sooritamist ning aktiivset osalemist kõikides auditoorsetes seminarides (puudumisel kirjutada õppejõuga kokku lepitud teemal essee),",
KKSB.01.036,Tervislik liikumisharrastus,3.0,kevad,"Kursuse eesmärgiks on anda tudengile võimalus, olla kehaliselt aktiivne sellisel tasemel (minimaalselt 2,5 tundi nädalas), mis tagab positiivse efekti tervisele. Spordiala valik on vaba. Kursus on veebipõhine. Kursuse käigus peab tudeng koguma andmeid oma treeningute kohta (50 tunni ulatuses) ning salvestama need enda poolt valitud on-line treeningute keskkonda. Treeningute andmeid võib keskkonda sisestada käsitsi või kasutades erinevaid nutiseadmeid. Lisaks tuleb treeningutest teha kokkuvõtted ning esitada need kursusel vastutavale õppejõule. Samuti tuleb kursuse raames läbitöötada Moodle keskkonnas etteantud materjalid ja sooritada kirjalik test, mis käsitleb kehalise aktiivsuse ja koormuse mõju inimese organismile.",,Jarek Mäestu,,inglise keel,"Eristamata (arv, m.arv, mi)",Tartu linn,"bakalaureuseõpe, integreeritud bakalaureuse- ja magistriõpe, magistriõpe","Eesmärkide püstitamine
Kokkuvõte ja analüüs treeningutest
Ülesannete ja kirjaliku testide läbimine Moodles",Olema kehaliselt aktiivne vähemalt 16 nädalat ja 50 tundi,
